Bridge_ID,State,Latitude,Longitude,Material,Age_Years,Length_Meters,Lanes,Deck_Condition,Superstructure_Condition,Substructure_Condition,Daily_Traffic,Truck_Percentage,Avg_Annual_Temp_C,Avg_Annual_Precipitation_mm,Last_Inspection_Year,Repair_Cost_USD,Repair_Time_Days,Deterioration_Rate,Failure_Probability
100000,OH,29.708699688830727,-116.44435725489865,Steel,17,1158.2591622731354,3,6,6,8,12899,21.912370925592974,23.04361337884893,1319.0530825749388,2023,4315877.039064087,267,0.01272261289332333,0.02484780424419427
100001,TX,41.2718839129983,-85.03656358134668,Composite,52,1303.9903031780548,5,6,8,5,47458,7.728373306802381,0.4553517482054765,1826.9286531354574,2020,1881782.6492399995,6,0.2546313879135026,0.02282720747734097
100002,NC,26.787850720043643,-117.66591213159654,Composite,35,1780.6405857581656,5,3,8,6,68505,35.34814419059544,15.476548208708515,1574.8917623852321,2018,3648371.4340184284,29,0.19850189715306735,0.09965088106406796
100003,IL,34.49007402259842,-97.14779724216643,Timber,60,1486.483660850507,4,4,3,7,10563,29.665317013321882,35.4705286591104,889.2681227526666,2014,1828414.1550813331,301,0.20530185950996796,0.08214434955742086
100004,MI,37.23955339580385,-119.61827560513758,Masonry,90,114.7122266789525,4,8,5,5,157293,33.0265660230711,31.029237461413082,1406.9573559146577,2020,1867925.1355395797,85,0.09557388847489473,0.05375188127712642
100005,GA,37.842294035013836,-72.75631427501114,Steel,76,883.3463791967736,4,6,3,5,99947,29.054788382304686,7.198850182869908,1529.0380222917327,2011,2699402.113745118,194,0.0819695928851613,0.0032127858880406533
100006,GA,25.717606205869004,-100.24986991039678,Timber,25,468.0590445308552,5,8,7,8,9686,6.837341151795902,-7.044211977545947,853.766740955911,2015,1496286.4476785637,124,0.2763786776736324,0.0900668811016866
100007,IL,37.12237164506368,-118.1008600731821,Steel,86,1444.675091720698,4,5,8,3,133008,6.53285708550483,-5.8859936174788094,895.2119220540407,2021,1959640.3036547482,171,0.12117384046416858,0.07921770733092227
100008,MI,40.15908574053991,-105.77023365245995,Composite,20,1516.1258581605325,3,4,6,8,177541,9.376225185586268,6.298517015490315,1182.7949247677795,2015,3547937.3828598824,15,0.01476243983331808,0.04567227156333937
100009,TX,24.09058817377509,-99.15982815725037,Concrete,81,830.4773869805058,2,6,4,4,86149,5.295672607028468,37.97195014079716,1884.628563944916,2016,4855250.842519514,47,0.2843813000084948,0.07922709903905152
100010,TX,41.81679021396691,-90.3266458710053,Steel,31,835.7868980469237,2,5,8,6,82620,38.95530915832652,6.001818424486068,1403.1678535538845,2020,1370871.1984784708,307,0.15235875476647043,0.047411204563352564
100011,FL,32.35172254264414,-80.98925196721528,Masonry,16,384.443188203964,5,5,5,4,176940,25.224925266461188,30.680437360027895,1367.4840258824552,2017,2120424.2093147733,182,0.29361414359113813,0.027152512502253208
